leiden_res1pt5_dist0_npc50,names,scores,logfoldchanges,pvals,pvals_adj
6,NAIP,-19.399166,-0.7619517,7.843187324942959e-84,2.704746217204594e-83
6,CD163,-20.164473,-1.4655149,2.0087897518939415e-90,6.978684397320434e-90
6,NFKBIA,-20.320997,-0.79300255,8.385521098770024e-92,2.934932384569509e-91
6,NFATC1,-20.657536,-1.3920367,8.351881969223285e-95,2.9451373259892637e-94
6,IL7R,-20.92823,-3.4367723,2.9629896137967525e-97,1.0527591885383917e-96
6,ADAMDEC1,-21.192745,-2.0804327,1.1140740809548814e-99,3.9885552974644225e-99
6,IRF2BP2,-21.267687,0.09244685,2.2615951528911804e-100,8.15913943619972e-100
6,BCL2,-21.512968,-1.6986035,1.177257915707544e-102,4.3135465817721735e-102
6,ABCA7,-21.678202,-3.7172122,3.2950119577776905e-104,1.226476673172807e-103
6,ATG3,-21.868105,-0.6251166,5.228485117451275e-106,1.961727616067718e-105
6,APOE,-21.907753,-1.9467719,2.191259530345799e-106,8.287909030098224e-106
6,HCK,-22.110178,-2.6160533,2.522710391846973e-108,9.619115233953092e-108
6,CCL11,-22.233374,-1.2338601,1.6337961142012542e-109,6.280740799675313e-109
6,OAS1,-22.277906,-1.5866826,6.052032730845667e-110,2.345787893195552e-109
6,PPM1G,-22.42631,-0.92218965,2.1798930034138047e-111,8.519748488342286e-111
6,CSF2RB,-22.742897,-2.7883875,1.6871960331975694e-114,6.70588931838695e-114
6,S100A8,-22.79501,-3.0512896,5.1386915242862885e-115,2.059868653752367e-114
6,MAFB,-22.879435,-1.229933,7.445953415138782e-116,3.0104759928449044e-115
6,IFNGR1,-23.444378,-0.6913471,1.5085110532604382e-121,6.206067403325838e-121
6,TSPAN14,-24.817715,-1.336738,5.772528786497522e-136,2.4172464293458374e-135
6,ZBTB38,-25.299082,-0.62378114,3.2694180581916826e-141,1.381402765127837e-140
6,PSMB9,-25.302761,-1.6617098,2.9784147339321436e-141,1.2698877365583413e-140
6,LTB,-25.518797,-3.5560315,1.2194863138781264e-143,5.247147534026067e-143
6,CDC42SE2,-25.54334,-1.9144208,6.51055178802021e-144,2.8272673968347024e-143
6,SLC39A8,-25.609077,-2.104826,1.2087562035008605e-144,5.298193078896295e-144
6,MYD88,-25.7809,-1.1410398,1.452272019452238e-146,6.425618652104714e-146
6,CD4,-26.519012,-1.477977,5.851036085067045e-155,2.6385922345158115e-154
6,BANK1,-26.562532,-2.9718647,1.840273720167898e-155,8.379498784065477e-155
6,HMGB2,-26.660542,-0.7152622,1.3507474107857815e-156,6.21078956527972e-156
6,S100A9,-26.901955,-2.8272405,2.083558832375255e-159,9.675139528554404e-159
6,CD3E,-27.115803,-3.0489035,6.41179962332792e-162,3.0375091144856513e-161
6,LY9,-27.136646,-3.6563995,3.6399094205650816e-162,1.741956651270432e-161
6,SNX3,-27.16188,0.0071681645,1.8330055920723616e-162,8.862676522494202e-162
6,FCGRT,-27.250292,-0.9495285,1.648650346685954e-163,8.054343881205338e-163
6,NAMPT,-27.562801,-0.90263057,3.1084132832198727e-167,1.550899818968213e-166
6,ATG5,-27.745085,-0.96176714,1.9974039376824076e-169,1.0072929535194078e-168
6,TAGAP,-27.800673,-3.186311,4.2573504404331226e-170,2.1703232136555808e-169
6,SP100,-28.07352,-0.8806678,2.0627684823866893e-173,1.0631191409223707e-172
6,NADK,-28.330574,-0.98344284,1.4525224538932888e-176,7.569255898621694e-176
6,PELI1,-28.57305,-1.4261112,1.45306407522762e-179,7.657157879570266e-179
6,JAML,-28.703009,-2.9066365,3.49933009147706e-181,1.8649838782985696e-180
6,LGALS9,-29.165754,-2.7839174,5.27441636495765e-187,2.8433347990403885e-186
6,TCF7,-29.532598,-3.264337,1.0986948753034297e-191,5.991719726945447e-191
6,IL10RB,-29.81516,-1.3044086,2.484893038840391e-195,1.3710762767248746e-194
6,NFKB1,-29.947756,-0.92757833,4.706162925873612e-197,2.627607633612767e-196
6,CD52,-30.076662,-3.6100903,9.786133058143617e-199,5.529754703938984e-198
6,IKZF3,-30.406136,-3.386565,4.557152469853826e-203,2.6064689126359076e-202
6,RNASE1,-30.542206,-1.5687326,7.176450026084577e-205,4.1552531632514406e-204
6,IFNAR2,-31.009996,-1.4085453,3.952644377925169e-211,2.3172377665586303e-210
6,MDM2,-31.061867,-0.9968329,7.888983502003204e-212,4.683459825872789e-211
6,FCER1G,-32.802357,-2.0956497,5.449754404223011e-236,3.40791308744079e-235
6,ADAM28,-33.066036,-3.1230266,9.150723982106992e-240,5.8790267775454505e-239
6,OAS2,-34.116024,-1.9597602,4.268222026029142e-255,2.819431169306574e-254
6,RPN2,-34.58015,-1.0019667,5.022964631073095e-262,3.3653863028189738e-261
6,SERBP1,-35.7405,-0.22998044,9.293012256517805e-280,6.603670830767956e-279
6,SP110,-36.461548,-1.6023798,4.5140074875268476e-291,3.307921111953268e-290
6,HMGB1,-36.77751,-0.02208799,4.2252723078749756e-296,3.145480495862482e-295
6,AIF1,-37.089035,-1.788397,4.220847660496605e-301,3.192867020601464e-300
6,CXCR4,-37.737057,-3.6405175,0.0,0.0
6,GPR183,-38.73532,-3.0949543,0.0,0.0
6,ELF1,-38.861736,-1.4273432,0.0,0.0
6,LNPEP,-39.36267,-1.1627753,0.0,0.0
6,MARCKSL1,-39.772602,-2.2036192,0.0,0.0
6,SPI1,-39.982155,-2.7998252,0.0,0.0
6,IRF8,-40.139725,-2.3165522,0.0,0.0
6,SP140L,-40.19023,-2.0146248,0.0,0.0
6,PLAC8,-40.683144,-3.9524407,0.0,0.0
6,SERPINA1,-42.411053,-2.9632053,0.0,0.0
6,TNIP1,-45.74068,-1.6167542,0.0,0.0
6,TAP2,-46.05743,-1.8784553,0.0,0.0
6,IL10RA,-47.874207,-3.3889155,0.0,0.0
6,CD79A,-50.019672,-3.1932266,0.0,0.0
6,PRDM1,-51.170593,-3.1965384,0.0,0.0
6,ATF4,-51.511578,-0.31077757,0.0,0.0
6,XBP1,-52.23247,-1.72396,0.0,0.0
6,RPN1,-52.669113,-0.78581524,0.0,0.0
6,TAP1,-52.873703,-2.3710318,0.0,0.0
6,ETS1,-55.434147,-1.8687325,0.0,0.0
6,BIRC3,-56.00601,-2.2604182,0.0,0.0
6,CD44,-58.227505,-1.767643,0.0,0.0
6,IRF1,-59.70633,-2.5464094,0.0,0.0
6,RNASET2,-61.245,-2.3602436,0.0,0.0
6,CTSH,-61.756886,-2.4734797,0.0,0.0
6,INPP5D,-67.11227,-3.9978693,0.0,0.0
6,LYZ,-79.37565,-2.8975499,0.0,0.0
6,ARHGDIB,-83.60363,-3.215253,0.0,0.0
6,NACA,-84.96638,-0.45611224,0.0,0.0
7,COL1A2,166.24115,3.6848276,0.0,0.0
7,SERPINF1,161.6611,5.3668256,0.0,0.0
7,GREM1,160.49274,5.3823676,0.0,0.0
7,COL1A1,148.46225,3.813811,0.0,0.0
7,PDGFRA,134.86154,4.628959,0.0,0.0
7,GPX3,122.43494,4.366406,0.0,0.0
7,IL6ST,104.17376,2.5469108,0.0,0.0
7,DLC1,93.39378,3.1429033,0.0,0.0
7,PDGFRB,81.69574,3.1465366,0.0,0.0
7,IL33,78.183266,2.898445,0.0,0.0
7,IGFBP6,74.85304,3.6819508,0.0,0.0
7,PLTP,73.84007,2.914658,0.0,0.0
7,LIMA1,69.240135,2.2697108,0.0,0.0
7,DUSP1,68.16607,2.0317097,0.0,0.0
7,IFITM3,66.56666,2.212149,0.0,0.0
7,CFB,63.276,2.375899,0.0,0.0
7,CD34,60.112736,2.350031,0.0,0.0
7,CSF1,59.787502,2.201346,0.0,0.0
7,MAF,59.215504,2.0183957,0.0,0.0
7,DAB2,58.52594,2.183882,0.0,0.0
7,TRIM8,54.548927,1.7586399,0.0,0.0
7,PLD1,51.788857,2.061307,0.0,0.0
7,ZFP36,51.31523,1.3089364,0.0,0.0
7,NFIX,51.253452,2.3833523,0.0,0.0
7,MAN1A1,51.073143,1.6768159,0.0,0.0
7,APOE,50.507946,2.3540585,0.0,0.0
7,SQSTM1,48.03407,1.2800094,0.0,0.0
7,IRF2BP2,47.799023,1.1137736,0.0,0.0
7,WSB1,46.947147,1.2382104,0.0,0.0
7,CD81,46.16947,1.7355485,0.0,0.0
7,CCL2,41.65186,1.9954215,0.0,0.0
7,PRDX6,37.895714,1.1593711,0.0,0.0
7,KCNN3,36.976387,1.6028184,2.744505665690221e-299,3.3872977821281933e-298
7,HSPA1B,36.92541,1.1405808,1.8074588687532264e-298,2.173585152423752e-297
7,MFAP5,33.900547,3.0453722,6.538782109434138e-252,7.301640022201454e-251
7,PDPN,33.53516,1.5224723,1.4816464475150444e-246,1.616028334615246e-245
7,CEBPB,32.10437,1.2312003,3.831376903496645e-226,3.9063386255215794e-225
7,SNX3,31.428299,0.72074807,8.310014274349786e-217,8.11957644722927e-216
7,NCKAP1,30.6219,0.93437415,6.256109976037864e-206,5.753167801493643e-205
7,UACA,30.101347,1.1140463,4.652523533647443e-199,4.1962183409243284e-198
7,TUBA1B,29.858736,0.6898814,6.761408097595279e-196,5.9832082976833695e-195
7,IMPDH2,29.673725,1.2033516,1.6766036010901234e-193,1.4561612757616072e-192
7,HSPA1A,29.35601,0.9098048,2.0026346352468477e-189,1.707701170783221e-188
7,RCN3,28.248552,1.7817166,1.4828071076356554e-175,1.2418509526448613e-174
7,ADM,27.373878,1.7737372,5.613666970354667e-165,4.462389506942947e-164
7,APOD,27.102964,1.7345514,9.085396365919922e-162,7.1017514926940724e-161
7,SPRY2,26.692501,1.4316375,5.7515587684851404e-157,4.4221001023270996e-156
7,FCGRT,26.330303,0.96482736,8.629277619845776e-153,6.424017783662966e-152
7,IFITM2,26.170277,1.038674,5.7939196085425835e-151,4.245856713135112e-150
7,RNASE1,25.61917,1.0348741,9.330566291451842e-145,6.732362447216791e-144
7,NFKBIA,24.104591,0.8881245,2.237382746760435e-128,1.5431360415156531e-127
7,MMP19,23.431118,1.8663598,2.0595825298838423e-121,1.360484797909186e-120
7,EFCAB14,23.32803,0.78598064,2.3035179720671005e-120,1.500486012360375e-119
7,LYVE1,23.277334,1.3992705,7.522890414008304e-120,4.833199457766979e-119
7,STAT3,22.710672,0.61111,3.5142782953605064e-114,2.1975953606987698e-113
7,ITGB5,21.906456,0.99928087,2.25457084161176e-106,1.3913075325209414e-105
7,CPA3,21.732246,1.522861,1.0170393698235238e-104,6.115275185220932e-104
7,JAM2,20.5849,0.84154624,3.7480453310715676e-94,2.043992163107634e-93
7,MAFB,19.738436,0.82836205,1.0085078562129662e-86,5.436668788090588e-86
7,TMEM98,18.105692,1.4188918,2.8737301867402115e-73,1.3752851607971013e-72
7,HSD11B1,17.772894,2.212731,1.1462179634824995e-70,5.375762248732923e-70
7,FAS,17.734228,0.8865529,2.2821199480876425e-70,1.0597170848050539e-69
7,CCL19,16.382921,1.6550343,2.5328132601683026e-60,1.110177027120499e-59
7,IFITM1,16.168919,0.63444716,8.355211505661075e-59,3.5950405469312336e-58
7,CCL11,15.868816,0.68518806,1.0418748955704124e-56,4.324241823208172e-56
7,XBP1,15.857011,0.62872,1.2573688003303099e-56,5.172859362762415e-56
7,RSL1D1,15.679706,0.51391065,2.0821832772799423e-55,8.275796246138075e-55
7,SELENOM,15.667789,0.71901315,2.511648196535753e-55,9.898848774582084e-55
7,KSR1,15.299834,0.9488189,7.665132622629739e-53,2.946678032797826e-52
7,STAT5B,14.173889,0.53169537,1.3292986578500503e-45,4.9479450042196315e-45
7,ZFP90,13.8624,0.782351,1.0703447533207443e-43,3.891408444243636e-43
7,CLEC3B,13.829725,1.7916349,1.6866266682414598e-43,6.08483005696342e-43
7,ICMT,13.016102,0.6337499,9.910180777600878e-39,3.417554988746185e-38
7,IL34,12.423194,1.6182988,1.9559502092031583e-35,6.460145409269586e-35
7,FOSL2,12.362644,0.58524287,4.1623527048210935e-35,1.3556551517785366e-34
7,NXF1,12.225111,0.49679065,2.2826941597052487e-34,7.233672708795687e-34
7,FOS,12.107778,0.7019759,9.606142700797246e-34,2.964000609653887e-33
7,REV3L,12.084669,0.7196072,1.2728176400322615e-33,3.90164361552373e-33
7,COL4A1,11.623459,0.4312,3.1319334579971627e-31,9.180479948754184e-31
7,TPSAB1,11.199726,1.0004908,4.0899707346775785e-29,1.1555399244360147e-28
7,S100B,10.833455,0.6227078,2.3896453625530348e-27,6.711039970283673e-27
7,MIER1,10.76595,0.4125058,4.9844465449193286e-27,1.3914913271233127e-26
7,CD163,10.239847,0.46816933,1.3144395129990398e-24,3.6051001847751444e-24
7,ZMIZ1,10.177543,0.4426814,2.4979036020582877e-24,6.811144124217074e-24
7,COL4A2,10.103131,0.6429461,5.3505692803409756e-24,1.442193673839033e-23
7,IFNGR2,9.994256,0.42715552,1.6149484371709343e-23,4.3280618116181037e-23
7,RBCK1,9.837644,0.5186054,7.750466727179483e-23,2.0421173567680772e-22
